"values","array"
7986.1,"C:"
7990.1,"C:"
7990.2,"C:"
7996.12,"C:"
8021.12,"C:"
8026.12,"C:"
8028.12,"C:"
8034.12,"C:"
8036.12,"C:"
8040.3,"C:"
8060.12,"C:"
8092.12,"C:"
8112.12,"C:"
8140.5,"C:"
8211.12,"C:"
8212.12,"C:"
8215.12,"C:"
8227.12,"C:"
8236.12,"C:"
8243.12,"C:"
8244.12,"C:"
8247.12,"C:"
8261.12,"C:"
8262.12,"C:"
8491.1,"C:"
8500.12,"C:"
8514.1,"C:"
8522.1,"C:"
8525.1,"C:"
8535.12,"C:"
8565.12,"C:"
8567.12,"C:"
8569.12,"C:"
8571.12,"C:"
8579.1,"C:"
8587.1,"C:"
8640.1,"C:"
8652.1,"C:"
8657.1,"C:"
8659.1,"C:"
8668.1,"C:"
8675.1,"C:"
8682.12,"C:"
8696.1,"C:"
8701.1,"C:"
8706.1,"C:"
8717.1,"C:"
8733.1,"C:"
8735.1,"C:"
8744.1,"C:"
8744.2,"C:"
8750.12,"C:"
8794.3,"C:"
8796.12,"C:"
8797.12,"C:"
8799.12,"C:"
8848.12,"C:"
8877.12,"C:"
8894.51,"C:"
8913.12,"C:"
8921.12,"C:"
8923.12,"C:"
8928.12,"C:"
8930.12,"C:"
8943.12,"C:"
8944.12,"C:"
8952.12,"C:"
8953.12,"C:"
8956.12,"C:"
8964.12,"C:"
8968.12,"C:"
9044.12,"C:"
9076.12,"C:"
9080.12,"C:"
9082.12,"C:"
9084.12,"C:"
9154.12,"C:"
9159.12,"C:"
9160.12,"C:"
9167.12,"C:"
9172.12,"C:"
9172.12,"C:"
9173.12,"C:"
9201.12,"C:"
9204.12,"C:"
9205.12,"C:"
9269.11,"C:"
9289.12,"C:"
9295.12,"C:"
9397.11,"C:"
9450.12,"C:"
9451.12,"C:"
9466.11,"C:"
9471.11,"C:"
9479.11,"C:"
9493.12,"C:"
9526.11,"C:"
9526.21,"C:"
9529.12,"C:"
9558.12,"C:"
9576.31,"C:"
9584.12,"C:"
9586.12,"C:"
9588.12,"C:"
9612.12,"C:"
9643.12,"C:"
9646.12,"C:"
9655.12,"C:"
9676.5,"C:"
9677.12,"C:"
9805.12,"C:"
9819.12,"C:"
9821.12,"C:"
9838.12,"C:"
9844.12,"C:"
9846.12,"C:"
9941.12,"C:"
10022.1,"C:"
10035.1,"C:"
10036.1,"C:"
10042.12,"C:"
10051.12,"C:"
10054.12,"C:"
10063.1,"C:"
10068.1,"C:"
10075.1,"C:"
10113.1,"C:"
10120.1,"C:"
10126.1,"C:"
10135.1,"C:"
10141.1,"C:"
10147.12,"C:"
10162.1,"C:"
10170.1,"C:"
10174.1,"C:"
10181.1,"C:"
10185.1,"C:"
10187.1,"C:"
10196.1,"C:"
10214.1,"C:"
10218.1,"C:"
10223.1,"C:"
10229.1,"C:"
10231.1,"C:"
10234.1,"C:"
10238.12,"C:"
10252.1,"C:"
10255.1,"C:"
10270.1,"C:"
10278.1,"C:"
10278.2,"C:"
10286.12,"C:"
10325.12,"C:"
10328.3,"C:"
10330.12,"C:"
10418.12,"C:"
10428.51,"C:"
10509.12,"C:"
10511.12,"C:"
10581.12,"C:"
10597.12,"C:"
10599.12,"C:"
10603.12,"C:"
10619.12,"C:"
10620.12,"C:"
10800.11,"C:"
